n3,n4,50,0.01,220,220
n2,n5,60,0.05,220,220
n2,n6,50,0.06,220,220
n4,n6,70,0.01,220,220
n5,n7,50,0.05,220,220
n6,n7,60,0.03,220,220
n6,n8,53,0.01,220,220
n6,n9,100,0.001,220,220
n6,n10,60,0.014,220,220
n9,n11,60,0.01,220,220
n9,n10,60,0.01,220,220
n4,n12,60,0.01,220,220
n12,n13,60,0.01,220,220
n12,n14,60,0.12,220,220
n12,n15,60,0.07,220,220
n12,n16,60,0.09,220,220
n14,n15,60,0.22,220,220
n16,n17,60,0.08,220,220
n15,n18,60,0.11,220,220
n18,n19,60,0.06,220,220
n19,n20,60,0.03,220,220
n10,n20,60,0.09,220,220
n10,n17,60,0.03,220,220
n10,n21,60,0.03,220,220
n10,n22,60,0.07,220,220
n21,n22,60,0.01,220,220
n15,n23,60,0.1,220,220
n22,n24,60,0.12,220,220
n23,n24,60,0.13,220,220
n24,n25,60,0.19,220,220
n25,n26,60,0.25,220,220
n25,n27,60,0.11,220,220
n28,n27,60,0.1,220,220
n27,n29,60,0.22,220,220
n27,n30,60,0.32,220,220
n29,n30,60,0.24,220,220
n8,n28,60,0.06,220,220
n6,n28,60,0.02,220,220
n1,n2,40,0.02,220,220
n1,n3,53,0.02,220,220
n2,n4,60,0.06,220,220
