n1,0 0 0 0 0
n2,21.7 24 26 29 34
n3,2.4 2.2 2.1 1 0.5
n4,7.6 9 8 4 3 1
n5,0 0 0 0 0 
n6,0 0 0 0 0
n7,22.8 20 25 30 35
n8,30 32 16 10 10
n9,0 0 0 0 0
n10,5.8 5 10 12 15
n11,0 0 0 0 0
n12,11.2 13 12 11 11
n13,0 0 0 0 0
n14,6.2 7 8 9 8 7
n15,8.2 1 2 3 4
n16,3.5 4.5 5.5 2.3 2.1
n17,9 10 11 12 13 14
n18,3.2 4.6 4 7 10
n19,9.5 10 11 14 15
n20,2.2 3 4 5 6
n21,17.5 20 14 12 5
n22,0 0 0 0 0
n23,3.2 4 5 2 3
n24,8.7 9 10 11 12
n25,0 0 0 0 0
n26,3.5 4 5 3 2
n27,0 0 0 0 0
n28,0 0 0 0 0
n29,2.4 3 2 5 10
n30,10.6 11 14 12 13
