ABR,0.007694
ADA,0.006752
ANI,0.00574
ATA,0.001486551
BEK,0.017925
BGC,0.00692
BIR,0.022642
BLA,0.001486551
BOG,0.013893
BUJ,0.009184
BYC,0.003826
BYD,0.007263
CHM,0.00692
CHS,0.007694
CPC,0.008035
CRN,0.008035
CZE,0.014526
CZT,0.000982688
DBN,0.011744
DUN,0.005908
EKB,0.00066233
ELK,0.00619
GBL,0.016881
GDA,0.016881
GDP,0.001806267
GLN,0.008715
GOR,0.017431
GRO,0.011744
GRU,0.007263
HAL,0.000409382
HCZ,0.00061418
JAM,0.000409382
JAN,0.026234
JAS,0.007263
JOA,0.00574
KAT,0.003826
KED,0.001486551
KHK,0.000409382
KIE,0.008694
KLA,0.009949
KOM,0.009184
KON,0.006752
KOP,0.003826
KOZ,0.009815
KPK,0.008694
KRA,0.008715
KRI,0.00692
KRM,0.001554282
LAG,0.003826
LES,0.014526
LMS,0.00066233
LOS,0.003826
LSN,0.006537
LSY,0.007694
LUA,0.019387
MIK,0.016071
MIL,0.009815
MKR,0.008531
MON,0.008715
MOR,0.060273
MOS,0.022642
MSK,0.006449211
NAR,0.013893
OLM,0.00619
OLS,0.00619
OLT,0.006449211
OSC,0.008694
OSR,0.006752
OST,0.009815
PAB,0.01002
PAS,0.017925
PAT,0.006752
PDE,0.015193
PEL,0.00692
PIA,0.009815
PIO,0.01002
PKW,0.007263
PLC,0.000932505
PLE,0.014526
PLO,0.015193
PLP,0
POL,0.008035
PPD,0.014526
PRB,0.009184
PRG,0
PUL,0
RAD,0.008694
REC,0.000932505
ROG,0.01002
ROK,0.022642
ROZ,0.008694
RZE,0.00692
SDU,0.001050205
SIE,0.000409382
SKA,0.002074409
SLK,0.010129
SOC,0.009815
STN,0
STW,0
SWI,0.008035
TAW,0.009949
TCN,0.003826
TEL,0.012661
TRE,0.00574
WAN,0.019387
WIE,0.022642
WLA,0.012661
WRC,0.001917975
WRZ,0.00574
WTO,0.006449211
ZAM,0.008531
ZBK,0.008035
ZDK,0.000632156
ZGI,0.01002
ZRC,0
ZUK,0.006537
ZYD,0.005908
